Id,Title,CCLI,Themes,Notes,Last Scheduled Date,Song Tag 1,Song Tag 2,Song Tag 3,Song Tag 4,Arrangement 1 Name,Arrangement 1 BPM,Arrangement 1 Length,Arrangement 1 Notes,Arrangement 1 Keys,Arrangement 1 Chord Chart,Arrangement 1 Chord Chart Key,Arrangement 1 Tag 1,Arrangement 1 Tag 2,Arrangement 1 Tag 3,Arrangement 2 Name,Arrangement 2 BPM,Arrangement 2 Length,Arrangement 2 Notes,Arrangement 2 Keys,Arrangement 2 Chord Chart,Arrangement 2 Chord Chart Key,Arrangement 2 Tag 1,Arrangement 2 Tag 2,Arrangement 2 Tag 3,Arrangement 3 Name,Arrangement 3 BPM,Arrangement 3 Length,Arrangement 3 Notes,Arrangement 3 Keys,Arrangement 3 Chord Chart,Arrangement 3 Chord Chart Key,Arrangement 3 Tag 1,Arrangement 3 Tag 2,Arrangement 3 Tag 3,Arrangement 4 Name,Arrangement 4 BPM,Arrangement 4 Length,Arrangement 4 Notes,Arrangement 4 Keys,Arrangement 4 Chord Chart,Arrangement 4 Chord Chart Key,Arrangement 4 Tag 1,Arrangement 4 Tag 2,Arrangement 4 Tag 3
1970322,Adonai,,"","","February 02, 2022","",Language: Romanian,"","",Default Arrangement,104,255,"BRIDGE(Tu esti Domn) : VOCAL + instr!! , instr intro (Full band), Ladies start  V1, guys come in at ""Vino..."",  build at preCH, full band at CH, V2, Chx2, Bridge x2, Big Break (quiet) , CH x2.",Am,"",G,Language: Romanian,Speed: Fast,"",,,,,,,,,,,,,,,,,,,,,
1970324,Agnus Dei - Lord of All ,626713,", agnus dei, Worship, Praise","Pety (Piano) intro, Vs (ENG) vocal parts (light cymbals, Guit-  A-Octave note steady), Full band at CH, Vs (ROM) CH x2, Bridge 6x , CH (ENG)","February 14, 2022","","","","",Michael W. Smith,69,320,"Instrumental intro (Asus2, Asus4, Military snare), Vs (ENG) vocal parts (light cymbals, Guit-  A-Octave note steady), Full band at CH, Vs (ROM) CH x2, Bridge 6x , CH (ENG)",A,"Intro: Piano <i>(Chorus melody)</i>

Verse (ENG): 
A   D/A    A   D/A   A  |- II -|    
A----a----lle---lu----ia,    
A    D/A  A  D/A  E/A D/A  
A –--a----lle---lu---u---ia
              E/A            D/A         A  |- II -|
For The Lord God Almighty Reigns
A   D/A    A   D/A   A  |- II -|    
A----a----lle---lu----ia,     
A    D/A  A  D/A  E/A D/A  
A –--a----lle---lu---u---ia
              E/A            D/A         A  |- II -|
For The Lord God Almighty Reigns
A    D/A   A    D/A  E/A  D/A 
A –--a----lle----lu---- u----ia       


Chorus (ENG):
  D  E  A   E/A   A
Ho-o--ly,   Ho---ly
                D/A   A     F#m    E
Are You Lord God Almighty             
Bm7   A/C#      D
Worthy is the Lamb
Bm7    A/C#      D
Worthy is the Lamb
  D   E/D   D  E/D  A    E/A   A
You are   Ho--o---ly,     Ho--ly 
                 D/A  A    F#m    E
Are You Lord God Almighty             
Bm7    A/C#     D
Worthy  is the Lamb
Bm7    A/C#     D
Worthy  is the Lamb
E    A  |- II -|
Amen










Verse (ROM):
//: Aleluia, Aleluia
Domnul nostru domneşte în veci : //
Aleluia!

Chorus (ROM): 
Tu Eşti sfânt, Eşti sfânt
Domnul nostru, din ceruri
//: Vrednic Eşti în veci: //

Doar Tu Eşti sfânt, Eşti sfânt
Domnul nostru, din ceruri
/: Vrednic Eşti în veci: //
Doar Tu eşti sfânt, eşti sfânt
Domnul nostru, din ceruri

<b>(Drop)</b>                                    E    A
Vrednic Eşti în veci  (X6) > Ho - ly

Chorus (EN)

",A,Language: Romanian+English,"","",,,,,,,,,,,,,,,,,,,,,
1970331,Awesome God,,"","All Team (vocal parts) start with CH (ENG), band comes in 2nd time. we will continue as written, we will eng with CH - ROM","February 25, 2020","","","","",Default Arrangement,72,0,"",Em,"",,"","","",,,,,,,,,,,,,,,,,,,,,
1970334,Beautiful one,,"","Start with the Chorus melody (instrumental), CH (vocal Parts), V1, Ch x2, V2, Ch x2 , Brigge (both parts), CH x2.","August 15, 2021","","","","",Default Arrangement,120,0,"Start with the Chorus melody (instrumental), CH (vocal Parts), V1, Ch x2, V2, Ch x2 , Brigge (both parts), CH x2.",C,"",C,"",Speed: Fast,"",,,,,,,,,,,,,,,,,,,,,
1970336,Because of who you are,,"","",,"","","","",Default Arrangement,,0,"","","",,"","","",,,,,,,,,,,,,,,,,,,,,
1970338,Cand vom intra pe-a tale porti de aur,,"","","December 21, 2020","",Language: Romanian,"","",Default Arrangement,78,240,"Intro, as written",Cm,"",,Language: Romanian,"",Style: Funeral,,,,,,,,,,,,,,,,,,,,,
1970341,Catre tine Doamne imi inalt rugaciunea,,"","","August 11, 2019","",Language: Romanian,"","",Default Arrangement,64,0,"Keys intro, Ladies, V1, Ch, Interlude, V2 - all, CH x 2 , End",A,"",,"","",Style: Evangelism,,,,,,,,,,,,,,,,,,,,,
1970343,Ce mare esti,,"","Instr Intro (Ch melody)- FULL BAND, follow as written.","May 12, 2021","",Language: Romanian,"","",Default Arrangement,64,0,"We'll start full BAND+VOCAL:  CHx2, follow as written",C,"",,Language: Romanian,"","",,,,,,,,,,,,,,,,,,,,,
1970344,Center of my life,,"","","April 21, 2021","","","","",Default Arrangement,,0,"Intro x2, V1, PrCh+CH, Instrumental Interlude, V2, PrCh+CH, Guitar solo (F key- Vs melody), Bridge x2 (drop down 1st, build after), ""Liber sunt ...""x2  CH (ROM) x2",D,"",G,"","","",,,,,,,,,,,,,,,,,,,,,
1970347,Chemati prin cantari bucuria,,"","","March 13, 2022","","","","",Default Arrangement,100,285,"Intro: Chorus Instrumental, follow as written",Dm-Ebm,"",,Language: Romanian,"",Style: Evangelism,,,,,,,,,,,,,,,,,,,,,
